PaymentID,LoanID,PaymentDate,AmountPaid,Status
PAY50196,LN10725,2024-11-26,73265,Paid
PAY50197,LN10214,2025-10-13,171801,Paid
PAY50198,LN10157,2023-11-26,12171,Partial
PAY50199,LN10068,2024-10-21,61684,Missed
PAY50200,LN10392,2025-12-06,187237,Paid
PAY50201,LN10084,2024-08-21,50948,Paid
PAY50202,LN10266,2025-03-31,35725,Paid
PAY50203,LN10068,2024-10-02,20450,Paid
PAY50204,LN10610,2023-11-10,145372,Paid
PAY50205,LN10346,2024-04-06,126900,Paid
PAY50206,LN10961,2024-04-30,85600,Paid
PAY50207,LN10727,2024-02-14,136513,Missed
PAY50208,LN10926,2023-01-27,112315,Paid
PAY50209,LN10672,2025-11-18,151404,Paid
PAY50210,LN10422,2023-09-28,21115,Paid
PAY50211,LN10605,2024-11-16,100405,Paid
PAY50212,LN10173,2024-05-15,88404,Partial
PAY50213,LN10676,2024-01-20,174069,Paid
PAY50214,LN10114,2023-03-01,145687,Paid
PAY50215,LN10219,2023-08-08,146804,Paid
PAY50216,LN10955,2025-02-09,157439,Paid
PAY50217,LN10030,2024-07-17,111670,Partial
PAY50218,LN10522,2024-06-29,43738,Paid
PAY50219,LN10342,2023-04-06,133053,Paid
PAY50220,LN10376,2025-09-15,194953,Paid
PAY50221,LN10129,2025-04-07,190681,Paid
PAY50222,LN10999,2023-08-19,82666,Paid
PAY50223,LN10616,2025-08-25,85351,Paid
PAY50224,LN10538,2023-10-02,140638,Paid
PAY50225,LN10738,2023-09-03,11728,Partial
PAY50226,LN10001,2023-04-21,106852,Paid
PAY50227,LN10870,2023-08-22,84911,Paid
PAY50228,LN10100,2024-02-21,118616,Missed
PAY50229,LN10532,2024-11-08,37214,Paid
PAY50230,LN10057,2025-03-13,190007,Paid
PAY50231,LN10388,2024-09-10,46588,Paid
PAY50232,LN10691,2024-12-07,151025,Paid
PAY50233,LN10940,2025-04-30,69408,Paid
PAY50234,LN10340,2024-04-19,35103,Paid
PAY50235,LN10860,2024-10-16,71949,Paid
PAY50236,LN10019,2024-01-30,181336,Paid
PAY50237,LN10254,2023-04-21,152228,Paid
PAY50238,LN10316,2023-03-31,14423,Paid
PAY50239,LN10037,2025-02-01,39062,Paid
PAY50240,LN10659,2023-05-12,174877,Paid
PAY50241,LN10536,2025-11-02,2987,Paid
PAY50242,LN10385,2024-04-01,63979,Paid
PAY50243,LN10632,2023-04-08,38597,Paid
PAY50244,LN10927,2023-10-20,84905,Paid
PAY50245,LN10025,2025-10-21,159940,Missed
PAY50246,LN10453,2024-07-25,77970,Paid
PAY50247,LN10680,2023-09-07,64805,Paid
PAY50248,LN10322,2024-10-13,120779,Paid
PAY50249,LN10736,2023-05-29,148708,Paid
PAY50250,LN10512,2023-02-13,58467,Paid
PAY50251,LN10818,2025-12-03,108732,Partial
PAY50252,LN10772,2023-06-11,149079,Partial
PAY50253,LN10012,2023-09-10,102460,Paid
PAY50254,LN10914,2023-05-12,135461,Paid
PAY50255,LN10907,2024-04-18,119105,Paid
PAY50256,LN10559,2024-12-06,125535,Paid
PAY50257,LN10920,2025-11-24,10458,Paid
PAY50258,LN10824,2023-10-02,69481,Partial
PAY50259,LN10370,2023-07-06,75888,Partial
PAY50260,LN10290,2025-08-06,77022,Partial
PAY50261,LN10331,2023-08-31,173472,Paid
PAY50262,LN10605,2023-09-21,68628,Paid
PAY50263,LN10260,2024-06-05,183929,Paid
PAY50264,LN10993,2025-08-20,196439,Paid
PAY50265,LN10789,2025-02-21,168599,Paid
PAY50266,LN10870,2024-06-18,71648,Paid
PAY50267,LN10204,2023-07-29,17937,Paid
PAY50268,LN10696,2023-02-15,169744,Paid
PAY50269,LN10686,2023-01-26,2112,Paid
PAY50270,LN10949,2023-06-24,167617,Missed
PAY50271,LN10386,2023-11-18,49355,Paid
PAY50272,LN10891,2023-02-24,76561,Paid
PAY50273,LN10820,2024-10-29,166154,Paid
PAY50274,LN10467,2023-05-27,119181,Paid
PAY50275,LN10414,2024-08-21,61482,Paid
PAY50276,LN10068,2023-01-20,80098,Paid
PAY50277,LN10471,2023-11-29,143376,Paid
PAY50278,LN10103,2025-06-25,123978,Paid
PAY50279,LN10757,2025-08-01,57625,Missed
PAY50280,LN10160,2025-06-29,176957,Partial
PAY50281,LN10199,2024-02-05,125359,Paid
PAY50282,LN10215,2025-08-07,72246,Paid
PAY50283,LN10945,2023-01-28,13588,Missed
PAY50284,LN10211,2024-04-11,116910,Paid
PAY50285,LN10507,2025-09-08,129658,Paid
PAY50286,LN10015,2023-04-11,21967,Partial
PAY50287,LN10497,2024-07-04,131153,Paid
PAY50288,LN10883,2025-03-12,25256,Partial
PAY50289,LN10331,2023-12-19,190420,Paid
PAY50290,LN10716,2023-10-23,157124,Paid
PAY50291,LN10876,2023-12-19,129121,Missed
PAY50292,LN10550,2025-06-26,190551,Paid
PAY50293,LN10600,2025-10-15,81732,Paid
PAY50294,LN10941,2024-03-30,192272,Paid
PAY50295,LN10255,2024-12-12,131145,Missed
PAY50296,LN10991,2025-09-06,134578,Paid
PAY50297,LN10765,2025-01-08,99120,Paid
PAY50298,LN10727,2025-09-03,152781,Paid
PAY50299,LN10879,2023-08-21,190607,Paid
PAY50300,LN10814,2025-10-20,45840,Paid
PAY50301,LN10171,2023-04-12,113647,Paid
PAY50302,LN10648,2025-08-10,192659,Missed
PAY50303,LN10999,2024-04-25,60321,Paid
PAY50304,LN10497,2023-04-18,44202,Paid
PAY50305,LN10470,2025-08-30,188660,Paid
PAY50306,LN10383,2024-12-04,135162,Partial
PAY50307,LN10689,2023-12-01,60231,Paid
PAY50308,LN10588,2023-03-27,22552,Paid
PAY50309,LN10699,2025-01-03,165813,Missed
PAY50310,LN10506,2025-05-24,22661,Paid
PAY50311,LN10991,2023-12-30,173097,Paid
PAY50312,LN10526,2023-03-01,138164,Paid
PAY50313,LN10803,2024-07-13,167746,Paid
PAY50314,LN10830,2023-04-27,132642,Paid
PAY50315,LN10324,2025-05-23,144156,Missed
PAY50316,LN10213,2025-07-03,66843,Missed
PAY50317,LN10207,2025-08-25,192824,Paid
PAY50318,LN10168,2025-09-25,70278,Paid
PAY50319,LN10329,2023-02-13,95328,Paid
PAY50320,LN10279,2024-05-23,132837,Paid
PAY50321,LN10977,2025-04-28,127355,Paid
PAY50322,LN10304,2025-07-05,25198,Partial
PAY50323,LN10145,2025-06-16,62201,Paid
PAY50324,LN10774,2025-03-09,74271,Paid
PAY50325,LN10515,2025-05-25,179271,Paid
PAY50326,LN10089,2023-10-13,143449,Paid
PAY50327,LN10452,2024-11-14,112578,Paid
PAY50328,LN10059,2025-03-29,140108,Paid
PAY50329,LN10310,2023-05-01,41364,Paid
PAY50330,LN10527,2025-08-02,116227,Paid
PAY50331,LN10226,2025-10-14,101353,Paid
PAY50332,LN10473,2025-06-25,169515,Paid
PAY50333,LN10977,2023-01-13,133735,Missed
PAY50334,LN10540,2024-08-25,171316,Partial
PAY50335,LN10662,2023-07-19,190463,Paid
PAY50336,LN10756,2024-08-08,78564,Paid
PAY50337,LN10781,2024-03-23,147149,Partial
PAY50338,LN10078,2025-04-20,189921,Paid
PAY50339,LN10432,2025-12-30,106447,Paid
PAY50340,LN10800,2024-08-12,20631,Paid
PAY50341,LN10152,2025-06-07,184724,Paid
PAY50342,LN10788,2023-02-12,199518,Paid
PAY50343,LN10400,2024-06-03,34500,Paid
PAY50344,LN10278,2025-11-02,151969,Partial
PAY50345,LN10056,2024-12-25,59915,Paid
PAY50346,LN10976,2024-09-14,169449,Paid
PAY50347,LN10185,2025-09-14,103760,Missed
PAY50348,LN10397,2025-03-13,27897,Paid
PAY50349,LN10604,2024-06-18,179352,Missed
PAY50350,LN10787,2023-10-29,102639,Partial
PAY50351,LN10157,2024-06-10,114849,Paid
PAY50352,LN10786,2024-04-04,112118,Partial
PAY50353,LN10692,2025-04-11,58320,Paid
PAY50354,LN10358,2024-05-19,69289,Paid
PAY50355,LN10439,2025-07-20,32941,Paid
PAY50356,LN10588,2023-11-21,146306,Paid
PAY50357,LN10465,2024-08-01,76172,Partial
PAY50358,LN10662,2025-01-30,4376,Paid
PAY50359,LN10445,2025-04-30,31783,Paid
PAY50360,LN10749,2025-08-17,173321,Paid
PAY50361,LN10800,2024-05-16,44025,Paid
PAY50362,LN10742,2023-11-30,17447,Paid
PAY50363,LN10487,2023-10-11,17713,Paid
PAY50364,LN10529,2024-04-19,129869,Missed
PAY50365,LN10072,2025-12-13,5858,Paid
PAY50366,LN10928,2024-09-23,183187,Paid
PAY50367,LN10927,2024-12-03,60834,Paid
PAY50368,LN10700,2024-02-13,83060,Paid
PAY50369,LN10949,2025-09-08,136611,Paid
PAY50370,LN10016,2024-07-12,196055,Paid
PAY50371,LN10530,2023-08-10,150929,Paid
PAY50372,LN10730,2023-06-07,104898,Paid
PAY50373,LN10325,2023-12-14,103207,Paid
PAY50374,LN10994,2025-06-07,137436,Paid
PAY50375,LN10631,2025-07-10,198057,Paid
PAY50376,LN10612,2024-10-23,191241,Paid
PAY50377,LN10545,2024-02-09,87366,Paid
PAY50378,LN10595,2024-11-07,153150,Missed
PAY50379,LN10920,2024-08-11,169646,Paid
PAY50380,LN10707,2024-07-11,1869,Paid
PAY50381,LN10841,2025-06-23,63624,Paid
PAY50382,LN10201,2025-12-06,172147,Paid
PAY50383,LN10343,2024-04-23,94676,Paid
PAY50384,LN10852,2024-05-01,4659,Missed
PAY50385,LN10522,2024-07-19,168442,Partial
PAY50386,LN10858,2024-06-07,107888,Missed
PAY50387,LN10399,2024-12-04,59185,Missed
PAY50388,LN10217,2025-10-26,118136,Paid
PAY50389,LN10444,2025-03-31,175823,Paid
PAY50390,LN10764,2025-05-07,63758,Paid
PAY50391,LN10221,2024-08-07,137203,Missed
PAY50392,LN10382,2024-11-16,133430,Paid
PAY50393,LN10880,2023-08-20,92150,Paid
PAY50394,LN10591,2023-09-27,189443,Paid
PAY50395,LN10006,2025-07-28,148318,Missed
PAY50396,LN10271,2025-05-23,18216,Paid
PAY50397,LN10738,2023-02-21,42209,Paid
PAY50398,LN10015,2023-04-26,43987,Partial
PAY50399,LN10423,2024-06-21,109024,Paid
PAY50400,LN10523,2024-06-24,152649,Partial
PAY50401,LN10802,2025-11-08,43320,Paid
PAY50402,LN10752,2025-03-25,12301,Paid
PAY50403,LN10020,2025-03-01,127560,Missed
PAY50404,LN10689,2024-09-09,1891,Paid
PAY50405,LN10938,2024-02-23,154044,Paid
PAY50406,LN10227,2023-11-05,51457,Paid
PAY50407,LN10784,2025-05-13,114389,Paid
PAY50408,LN10287,2023-07-05,186507,Paid
PAY50409,LN10808,2023-09-18,21932,Paid
PAY50410,LN10133,2023-06-09,5192,Paid
PAY50411,LN10983,2025-05-19,17128,Missed
PAY50412,LN10282,2025-01-31,23836,Paid
PAY50413,LN10403,2023-08-12,25837,Paid
PAY50414,LN10664,2023-06-29,118028,Paid
PAY50415,LN10065,2023-01-20,117481,Paid
PAY50416,LN10648,2024-09-23,126176,Partial
PAY50417,LN10603,2023-02-27,126172,Paid
PAY50418,LN10436,2024-12-23,23778,Missed
PAY50419,LN10828,2024-09-06,44130,Paid
PAY50420,LN10933,2024-07-15,17708,Paid
PAY50421,LN10258,2024-01-09,108481,Paid
PAY50422,LN10979,2024-09-13,156304,Paid
PAY50423,LN10965,2023-03-29,189338,Paid
PAY50424,LN10102,2025-11-09,171484,Paid
PAY50425,LN10992,2025-10-10,5782,Paid
PAY50426,LN10566,2023-01-14,193268,Missed
PAY50427,LN10768,2023-05-13,158387,Paid
PAY50428,LN10100,2025-11-23,11052,Paid
PAY50429,LN10197,2025-06-10,20521,Paid
PAY50430,LN10812,2024-08-14,70690,Paid
PAY50431,LN10225,2024-08-05,36546,Partial
PAY50432,LN10942,2023-10-16,158044,Paid
PAY50433,LN10462,2025-10-09,105713,Paid
PAY50434,LN10236,2025-05-28,196457,Paid
PAY50435,LN10025,2023-01-07,103617,Paid
PAY50436,LN10120,2023-08-28,23030,Paid
PAY50437,LN10909,2024-06-19,172448,Paid
PAY50438,LN10505,2023-03-11,90831,Missed
PAY50439,LN10181,2023-08-04,78400,Paid
PAY50440,LN10710,2025-12-13,19055,Paid
PAY50441,LN10813,2025-03-16,157565,Paid
PAY50442,LN10766,2023-11-26,75861,Paid
PAY50443,LN10633,2025-04-27,122184,Partial
PAY50444,LN10542,2023-02-14,117524,Missed
PAY50445,LN10983,2025-04-08,117826,Paid
PAY50446,LN10314,2023-07-17,37775,Paid
PAY50447,LN10990,2025-06-14,183129,Paid
PAY50448,LN10796,2023-11-28,86909,Paid
PAY50449,LN10617,2024-11-26,37253,Paid
PAY50450,LN10735,2023-01-27,52884,Partial
PAY50451,LN10272,2023-11-14,77497,Paid
PAY50452,LN10909,2023-12-31,18705,Paid
PAY50453,LN10231,2025-08-17,176748,Missed
PAY50454,LN10419,2024-01-08,92640,Paid
PAY50455,LN10767,2023-09-02,8101,Partial
PAY50456,LN10441,2024-04-22,63495,Paid
PAY50457,LN10495,2023-05-05,136815,Partial
PAY50458,LN10023,2024-06-20,9951,Paid
PAY50459,LN10108,2024-12-06,139086,Paid
PAY50460,LN10702,2024-06-14,37180,Paid
PAY50461,LN10501,2025-02-24,57977,Paid
PAY50462,LN10858,2023-09-11,191606,Paid
PAY50463,LN10024,2023-05-01,64209,Partial
PAY50464,LN10186,2025-11-21,173980,Missed
PAY50465,LN10287,2024-10-22,109575,Paid
PAY50466,LN10627,2025-11-26,51918,Paid
PAY50467,LN10337,2025-11-02,140291,Paid
PAY50468,LN10877,2023-03-29,139235,Paid
PAY50469,LN10913,2023-02-15,134542,Paid
PAY50470,LN10036,2025-07-21,148615,Partial
PAY50471,LN10793,2025-01-14,151348,Paid
PAY50472,LN10136,2025-08-24,121014,Paid
PAY50473,LN10507,2025-02-01,168953,Paid
PAY50474,LN10226,2025-01-31,79950,Paid
PAY50475,LN10319,2025-03-04,8749,Paid
PAY50476,LN10839,2025-01-13,25182,Paid
PAY50477,LN10915,2025-12-05,78450,Paid
PAY50478,LN10181,2024-07-11,81543,Paid
PAY50479,LN10873,2024-06-09,97487,Paid
PAY50480,LN10085,2024-08-19,111227,Paid
PAY50481,LN10466,2025-04-19,153455,Paid
PAY50482,LN10925,2023-01-03,79578,Paid
PAY50483,LN10052,2025-11-17,117258,Missed
PAY50484,LN10859,2023-06-06,157484,Paid
PAY50485,LN10866,2025-05-04,14181,Paid
PAY50486,LN10234,2024-05-25,45898,Paid
PAY50487,LN10958,2024-11-17,191702,Paid
PAY50488,LN10778,2024-07-24,4405,Paid
PAY50489,LN10798,2024-12-15,11862,Paid
PAY50490,LN10432,2023-08-27,186751,Paid
PAY50491,LN10495,2023-10-30,29688,Missed
PAY50492,LN10998,2024-08-29,49017,Partial
PAY50493,LN10099,2025-09-17,13939,Paid
PAY50494,LN10989,2023-11-30,105152,Paid
PAY50495,LN10598,2023-04-23,40585,Partial
PAY50496,LN10402,2023-12-28,117315,Paid
PAY50497,LN10395,2025-03-11,105447,Paid
PAY50498,LN10526,2023-04-07,155014,Partial
PAY50499,LN10414,2023-01-16,137344,Partial
PAY50500,LN10938,2024-07-09,176206,Paid
PAY50501,LN10612,2024-01-11,156337,Paid
PAY50502,LN10676,2025-01-11,180264,Paid
PAY50503,LN10462,2024-01-25,160740,Missed
PAY50504,LN10540,2024-09-11,82560,Partial
PAY50505,LN10625,2025-04-03,98435,Paid
PAY50506,LN10618,2023-11-16,70283,Paid
PAY50507,LN10921,2023-07-15,10297,Paid
PAY50508,LN10363,2024-02-22,65005,Paid
PAY50509,LN10129,2024-08-29,129833,Missed
PAY50510,LN10083,2024-07-21,190506,Paid
PAY50511,LN10270,2024-06-27,196821,Paid
PAY50512,LN10243,2023-08-19,133679,Paid
PAY50513,LN10387,2025-06-02,131654,Paid
PAY50514,LN10213,2024-06-04,191255,Paid
PAY50515,LN10817,2024-12-03,87994,Paid
PAY50516,LN10165,2025-04-25,57305,Missed
PAY50517,LN10790,2024-11-03,160045,Paid
PAY50518,LN10058,2023-01-21,155189,Partial
PAY50519,LN10601,2024-08-10,123688,Paid
PAY50520,LN10882,2025-06-16,8645,Paid
PAY50521,LN10842,2024-01-06,43238,Paid
PAY50522,LN10923,2023-03-19,70694,Partial
PAY50523,LN10503,2024-10-09,173845,Paid
PAY50524,LN10705,2023-05-20,17786,Paid
PAY50525,LN10122,2024-07-06,41693,Paid
PAY50526,LN10647,2025-09-24,97447,Paid
PAY50527,LN10412,2023-10-09,158650,Partial
PAY50528,LN10138,2024-03-15,178480,Missed
PAY50529,LN10228,2023-09-27,70702,Paid
PAY50530,LN10273,2025-01-15,85845,Paid
PAY50531,LN10438,2023-04-14,16076,Paid
PAY50532,LN10561,2025-02-04,20377,Paid
PAY50533,LN10909,2023-04-05,141350,Missed
PAY50534,LN10117,2024-12-29,196880,Partial
PAY50535,LN10713,2024-04-24,128368,Paid
PAY50536,LN10994,2025-02-18,34539,Paid
PAY50537,LN10904,2023-01-13,127552,Paid
PAY50538,LN10482,2024-08-23,143512,Paid
PAY50539,LN10394,2023-04-05,27245,Paid
PAY50540,LN10702,2023-10-20,154169,Paid
PAY50541,LN10875,2023-01-25,68092,Paid
PAY50542,LN10459,2025-07-27,110454,Paid
PAY50543,LN10834,2025-01-31,133223,Paid
PAY50544,LN10692,2024-10-15,153770,Paid
PAY50545,LN10934,2025-09-11,149673,Missed
PAY50546,LN10077,2024-09-29,158879,Paid
PAY50547,LN10951,2024-05-05,177374,Missed
PAY50548,LN10411,2024-07-28,140111,Paid
PAY50549,LN10074,2023-10-21,48427,Missed
PAY50550,LN10294,2025-06-14,72839,Missed
PAY50551,LN10792,2023-02-09,190121,Paid
PAY50552,LN10020,2025-02-14,151125,Paid
PAY50553,LN10905,2024-06-03,117801,Partial
PAY50554,LN10170,2024-06-29,111845,Paid
PAY50555,LN10014,2023-08-24,87298,Partial
PAY50556,LN10210,2024-04-07,90147,Paid
